State,Total,H,W,B,N,A,O
AL,4876250,208626,125318,7524,2825,860,72099
AK,737068,51870,29118,1348,3480,1003,16921
AZ,7050299,2208663,1587446,20355,41018,6616,553228
AR,2999370,224130,128591,2643,2782,577,89537
CA,39283496,15327688,8847910,104953,163167,81492,6130166
CO,5610349,1208172,894253,12121,24454,3487,273857
CT,3575074,574240,322018,29296,4359,1268,217299
DE,957248,88364,61740,4900,904,353,20467
DC,692683,76191,32484,6037,673,404,36593
FL,20901636,5346684,4435909,156344,17331,11288,725812
GA,10403847,992394,613034,44672,18058,3776,312854
HI,1422094,149118,42125,1648,1469,12746,91130
ID,1717750,215476,137526,602,4109,1226,72013
IL,12770631,2186387,1305053,29882,18352,6154,826946
IN,6665703,461850,282320,10042,3434,1139,164915
IA,3139508,188311,136018,2799,2725,415,46354
KS,2910652,345680,247359,5782,4774,944,86821
KY,4449052,162994,106624,4931,1230,427,49782
LA,4664362,239164,156388,10577,2469,792,68938
ME,1335492,22100,14991,1100,643,163,5203
MD,6018848,606482,280640,30498,4760,2175,288409
MA,6850553,809179,444999,49176,5097,2643,307264
MI,9965265,507353,336355,16280,7747,1301,145670
MN,5563378,299556,166923,6707,5606,1745,118575
MS,2984418,91202,53290,4107,928,139,32738
MO,6104910,254791,166003,4955,3452,1173,79208
MT,1050649,40314,25654,637,3101,161,10761
NE,1914571,208271,154760,2534,3256,352,47369
NV,2972382,853041,486470,11203,10956,4679,339733
NH,1348124,50493,37201,3211,220,209,9652
NJ,8878503,1794736,1101694,69341,9898,6095,607708
NM,2092454,1020817,783097,6209,16971,2236,212304
NY,19572320,3720983,1575875,274967,33478,14067,1822596
NC,10264876,962665,575231,35460,11448,2467,338059
ND,756717,28317,16151,408,1524,130,10104
OH,11655397,443415,278932,20306,5870,1615,136692
OK,3932870,417906,262839,5412,14219,1219,134217
OR,4129803,537217,355078,3447,10010,2168,166514
PA,12791530,935216,523439,67621,10208,3209,330739
RI,1057231,163226,89165,11146,1875,557,60483
SC,5020806,285458,175590,10263,2897,703,96005
SD,870638,33024,20173,340,2794,116,9601
TN,6709356,364174,253574,10405,2636,1037,96522
TX,28260856,11116881,9047039,99504,70344,16719,1883275
UT,3096848,434832,250835,2278,5206,977,175536
VT,624313,12038,8543,601,325,68,2501
VA,8454463,792001,490048,32866,5781,5057,258249
WA,7404107,937579,507183,10979,14755,5651,399011
WV,1817305,28368,20054,1142,74,204,6894
WI,5790716,394392,241362,7140,4456,1135,140299
WY,581024,57341,42867,389,1617,118,12350
